address	latitude_permanence	longitude_permanence
's Herenbaan  2840 Rumst (Reet)	51.1094852	4.3592976
4790 Burg-Reuland (Burg-Reuland)	50.19607735	6.13477667235682
A. Rodenbachstraat  8370 Blankenberge (Blankenberge)	51.3090178	3.124276
Aartrijkestraat  8820 Torhout (Torhout)	51.0724647	3.0995801
Adolf Van Glabbekeplein  8400 Oostende (Oostende)	NA	NA
All√©e de l'Absent  4000 Li√®ge (Li√®ge)	NA	NA
AllÈe de l'Absent  4000 LiËge (LiËge)	50.6527398	5.5793158
Alois Blommaertstraat  2990 Wuustwezel (Wuustwezel)	51.3928005	4.6009126
Alte Aachener Stra√üe  4780 Sankt Vith (Sankt Vith)	NA	NA
Alte Aachener Straﬂe  4780 Sankt Vith (Sankt Vith)	NA	NA
Ambachtsstraat  2400 Mol (Mol)	51.1895677	5.095847
Antwerpsebaan  2040 Antwerpen (Albertdok)	NA	NA
Antwerpsesteenweg  2660 Antwerpen (Hoboken)	51.1821187	4.371354
Atletenstraat  2020 Antwerpen (Antwerpen)	51.1850528	4.3838563
Attenhovenstraat  3400 Landen (Landen)	50.7567993	5.0809704
August Vermeylenlaan  2050 Antwerpen (Antwerpen)	51.2312671	4.3786698
Augustijnslei  2930 Brasschaat (Brasschaat)	51.3008783	4.4869687
Avenue Albert 1er  5000 Namur (Namur)	50.4661747	4.8777058
Avenue Baudouin de Constantinople  7000 Mons (Mons)	50.4537911	3.9590105
Avenue Britsiers  1030 Schaerbeek (Schaerbeek)	50.8691462	4.3850802
Avenue de Barry  7700 Mouscron (Mouscron)	50.7358751	3.2195315
Avenue de F√©camp  7700 Mouscron (Mouscron)	NA	NA
Avenue de FÈcamp  7700 Mouscron (Mouscron)	50.748652	3.2223936
Avenue De Fr√©  1180 Uccle (Uccle)	NA	NA
Avenue De Fr√©;De Fr√©laan  1180 Uccle (Uccle);Ukkel (Ukkel)	NA	NA
Avenue De FrÈ  1180 Uccle (Uccle)	50.8031574	4.3412639
Avenue de Houffalize  6800 Libramont-Chevigny (Libramont)	49.9262312	5.3825562
Avenue de l'Arbre Ballon  1090 Jette	50.8906488	4.3088116
Avenue de l'Arbre Ballon  1090 Jette (Jette)	50.8906488	4.3088116
Avenue de l'Europe  7321 Bernissart (Blaton)	50.5080339	3.6651717
Avenue de l'H√¥pital  4000 Li√®ge (Angleur)	NA	NA
Avenue de l'HÙpital  4000 LiËge (Angleur)	NA	NA
Avenue de la R√©sistance  4300 Waremme (Waremme)	NA	NA
Avenue de la RÈsistance  4300 Waremme (Waremme)	50.691556	5.2488188
Avenue de Maire  7500 Tournai (Tournai)	50.6137002	3.3778746
Avenue Desandrouin  59300 FRA-Valenciennes	NA	NA
Avenue Dewandre  4650 Herve (Herve)	50.6423052	5.7948573
Avenue du Centenaire  4102 Seraing (Ougr√©e)	NA	NA
Avenue du Centenaire  4102 Seraing (OugrÈe)	50.5859128	5.547339
Avenue du Docteur Gaston Th√©rasse  5530 Yvoir (Mont)	NA	NA
Avenue du Docteur Gaston ThÈrasse  5530 Yvoir (Mont)	NA	NA
Avenue Hippocrate  1200 Woluwe-Saint-Lambert (Woluwe-Saint-Lambert)	50.8526246	4.4553618
Avenue Jean Joseph Crocq  1020 Bruxelles (Laeken)	NA	NA
Avenue Max Buset  7100 La Louvi√®re (La Louvi√®re)	NA	NA
Avenue Max Buset  7100 La LouviËre (La LouviËre)	50.4751089	4.202382
Avenue Reine Elisabeth  5300 Andenne (Andenne)	50.4912886	5.0867695
Avenue Reine Fabiola  1340 Ottignies-Louvain-la-Neuve (Ottignies)	50.6671366	4.5621626
Avenue Ren√© Soyer  1310 La Hulpe (La Hulpe)	NA	NA
Avenue RenÈ Soyer  1310 La Hulpe (La Hulpe)	50.7290251	4.49140409847469
Avenue Victor Regnart  7370 Dour (Dour)	50.3911839	3.7731814
Bedrijvenpark Coupure  9700 Oudenaarde (Bevere)	50.8377683	3.59163437842114
Bedrijvenpark De Veert  2830 Willebroek (Willebroek)	51.0670859	4.3550169
Begijnhof  3740 Bilzen (Bilzen)	50.8696089	5.5199588
Bergense Steenweg  1070 Anderlecht	50.8429504	4.3327136
Bergstraat  2220 Heist-op-den-Berg (Heist-op-den-Berg)	51.0760273	4.7227647
Bestormingsstraat  2018 Antwerpen (Antwerpen)	NA	NA
Beverenstraat  8810 Lichtervelde (Lichtervelde)	51.0030026	3.1511453
Bierleux  4990 Lierneux (Bra)	50.3217136	5.7298046
Bijkhoevelaan  2110 Wijnegem (Wijnegem)	51.235643	4.4923065
Bisschopslaan  2340 Beerse (Beerse)	51.3157502	4.8562498
Blauwbossen  2322 Hoogstraten (Minderhout)	51.4419501	4.8022726
Bloemendaelelaan  9990 Maldegem (Maldegem)	51.2125557	3.4529634
Bocholterstraat  3960 Bree (Beek)	51.1521486	5.5964356
Botermarkt  2270 Herenthout (Herenthout)	51.1398248	4.7557413
Boudewijnlaan  3200 Aarschot (Aarschot)	50.9820669	4.8238073
Boulevard de Patience et Beaujonc  4000 Li√®ge (Glain)	NA	NA
Boulevard de Patience et Beaujonc  4000 LiËge (Glain)	50.6463956	5.5348879
Boulevard des Souverains  5500 Dinant (Dinant)	50.2527456	4.9166857
Boulevard du 12√®me de Ligne  4000 Li√®ge (Li√®ge)	NA	NA
Boulevard du 12Ëme de Ligne  4000 LiËge (LiËge)	50.6519167	5.5750971
Boulevard du Jardin Botanique  1000 Bruxelles (Bruxelles)	50.8548549	4.3595513
Boulevard du Roi Baudouin  7100 La Louvi√®re (La Louvi√®re)	NA	NA
Boulevard du Roi Baudouin  7100 La LouviËre (La LouviËre)	50.4656685	4.1882188
Boulevard du Triomphe  1050 Elsene	50.8234993	4.3992025
Boulevard du Triomphe  1160 Auderghem (Auderghem)	50.8181579	4.4027369
Boulevard Louise  6460 Chimay (Chimay)	50.0467579	4.313103
Boulevard Pr√©sident Kennedy  7000 Mons (Mons)	NA	NA
Boulevard PrÈsident Kennedy  7000 Mons (Mons)	50.4590713	3.96051
Boulevard ZoÈ Drion  6000 Charleroi (Charleroi)	50.4139046	4.4519766
Brandweerplein  1840 Londerzeel (Londerzeel)	51.0041581	4.3066146
Brandweerstraat  8300 Knokke-Heist (Knokke)	51.3398909	3.2863133
Bredabaan  2930 Brasschaat (Brasschaat)	51.3088289	4.5084766
Briekestraat  8900 Ieper (Sint-Jan)	50.8775775	2.8993871
Broekstraat 46A 2220 Heist-op-den-Berg (Hallaar)	51.0830406	4.7357597
Bruggestraat  8700 Tielt (Tielt)	51.0009093	3.3259691
Brusselsesteenweg  1500 Halle (Halle)	50.7456341	4.2425757
Burgemeester Dupontplein  3990 Peer (Peer)	51.1327464	5.4421156
C-Mine  3600 Genk (Genk)	50.9832653	5.4889391
Caserne Callemeyn  6700 Arlon (Arlon)	49.6902951	5.8219361
Charles Degrouxstraat  1040 Etterbeek (Etterbeek)	50.8415816	4.4000444
Chauss√©e d'Arlon  6840 Neufch√¢teau (Neufch√¢teau)	NA	NA
Chauss√©e d'Ypres  7784 Comines-Warneton (Warneton)	NA	NA
Chauss√©e de Braine  7060 Soignies (Soignies)	NA	NA
Chauss√©e de Bruxelles  6042 Charleroi (Lodelinsart)	NA	NA
Chauss√©e de Charleroi  1400 Nivelles (Nivelles)	NA	NA
Chauss√©e de Houffalize  6600 Bastogne (Bastogne)	NA	NA
Chauss√©e de Li√®ge 55/57 5100 Namur (Jambes)	NA	NA
Chauss√©e de Mons  6500 Beaumont (Beaumont)	NA	NA
Chauss√©e de Mons 37A 6460 Chimay (Chimay)	NA	NA
Chauss√©e de Mont-Saint-Jean  1420 Braine-l'Alleud (Braine-l'Alleud)	NA	NA
Chauss√©e de Namur  1301 Wavre (Bierges)	NA	NA
Chauss√©e de Namur  5310 Eghez√©e (Eghez√©e)	NA	NA
Chauss√©e de Nivelles  6041 Charleroi (Gosselies)	NA	NA
Chauss√©e de Philippeville  6280 Gerpinnes (Loverval)	NA	NA
ChaussÈe d'Arlon  6840 Neufch‚teau (Neufch‚teau)	NA	NA
ChaussÈe d'Ypres  7784 Comines-Warneton (Warneton)	50.7578137	2.9452593
ChaussÈe de Braine  7060 Soignies (Soignies)	50.5862716	4.0860576
ChaussÈe de Bruxelles  6042 Charleroi (Lodelinsart)	50.4287153	4.4407052
ChaussÈe de Charleroi  1400 Nivelles (Nivelles)	50.5816119	4.3395388
ChaussÈe de Houffalize  6600 Bastogne (Bastogne)	50.0112285	5.7228773
ChaussÈe de LiËge 55/57 5100 Namur (Jambes)	50.4640601	4.8925771
ChaussÈe de Mons  6500 Beaumont (Beaumont)	50.2403398	4.2364327
ChaussÈe de Mons 37A 6460 Chimay (Chimay)	50.05532155	4.30676314242038
ChaussÈe de Mont-Saint-Jean  1420 Braine-l'Alleud (Braine-l'Alleud)	50.6871774	4.386843
ChaussÈe de Namur  1301 Wavre (Bierges)	50.7004679	4.615375
ChaussÈe de Namur  5310 EghezÈe (EghezÈe)	50.5848289	4.9116933
ChaussÈe de Nivelles  6041 Charleroi (Gosselies)	50.4690486	4.4314322
ChaussÈe de Philippeville  6280 Gerpinnes (Loverval)	50.3714869	4.4676387
Chemin Bouteiller  7011 Mons (Ghlin)	NA	NA
Chemin de Poilvache  5530 Yvoir (Evrehailles)	50.3151921	4.9142147
Chemin des Rivi√®res  7804 Ath (Rebaix)	NA	NA
Chemin des RiviËres  7804 Ath (Rebaix)	NA	NA
Cockerillkaai  2000 Antwerpen (Antwerpen)	51.2121604	4.3897684
de Merodedreef  2260 Westerlo (Westerlo)	51.0899603	4.9145868
De Merodedreef 13-15 2260 Westerlo	51.0899603	4.9145868
Deltalaan  8800 Roeselare (Rumbeke)	50.9195307	3.1685762
Diestersteenweg  3680 Maaseik (Maaseik)	51.1007086	5.6976202
diestersteenweg  3800 Sint-Truiden (Sint-Truiden)	50.8279903	5.1897419
Diestersteenweg  3800 Sint-Truiden (Sint-Truiden)	50.8279903	5.1897419
Diestsesteenweg  3300 Tienen (Sint-Margriete-Houtem)	50.8262924	4.9390566
Dijleweg  2850 Boom (Boom)	51.0963925	4.3549001
Dirk Martenslaan  8870 Izegem (Izegem)	50.9179752	3.2183683
Domaine Brunsode  4130 Esneux (Tilff)	50.5685591	5.5865374
Doorniksesteenweg  8500 Kortrijk (Kortrijk)	50.8074507	3.2800194
Doornstraat  8970 Poperinge (Poperinge)	50.8593465	2.7255628
Dranouterstraat  8950 Heuvelland (Nieuwkerke)	50.7460479	2.8225522
Drie Eikenstraat  2650 Edegem (Edegem)	51.1562257	4.4269248
Duffelsesteenweg  2550 Kontich (Kontich)	51.1228642	4.4634032
eikenboslaan  1180 ukkel (ukkel)	50.787865	4.3508781
Eikenbosweg  3570 Alken (Alken)	50.8629434	5.280372
Entrepotplaats  2000 Antwerpen (Antwerpen)	51.2276256	4.4116268
Ertbrandstraat  2950 Kapellen (Kapellen)	51.349962	4.3985436
Essenhoutstraat  2950 Kapellen (Kapellen)	51.3072941	4.4178452
Florent Pauwelslei  2100 Antwerpen (Deurne)	51.2088434	4.4727682
Gasstraat  8620 Nieuwpoort (Nieuwpoort)	51.1285036	2.757145
Gasstraat  8940 Wervik (Wervik)	50.7817015	3.0421507
Gasthuisstraat  2400 Mol (Mol)	51.1864717	5.1136782
Gasthuisstraat  9500 Geraardsbergen (Geraardsbergen)	50.7679928	3.8749228
Gendarmeriestraat  1800 Vilvoorde (Vilvoorde)	50.9287864	4.4176982
Gentsesteenweg  9900 Eeklo	51.1751856	3.5807753
Gentseweg  8793 Waregem (Sint-Eloois-Vijve)	50.8978973	3.3980626
Geraardsbergsestraat  9660 Brakel	50.7919537	3.7737149
Gijselsstraat  2140 Antwerpen (Borgerhout)	51.2151026	4.4448362
Glabbeeksesteenweg  3390 Tielt-Winge (Sint-Joris-Winge)	50.8998621	4.8893781
Grand'Route  4400 Fl√©malle (Fl√©malle-Haute)	NA	NA
Grand'Rue  6000 Charleroi (Charleroi)	50.4215385	4.4598935
Gravendreef  9120 Beveren (Beveren-Waas)	NA	NA
Gremelsloweg 7a 3680 Maaseik (Maaseik)	51.10510715	5.75034654260559
Grote Markt  2500 Lier (Lier)	51.1307182	4.5698631
Grote Markt  2800 Mechelen (Mechelen)	51.0279576	4.4809127
Grote Puttingbaan  2560 Nijlen (Kessel)	51.1485183	4.6373914
Haiglaan  8900 Ieper (Ieper)	50.8547685	2.873816
Haringestraat 26A 8972 Poperinge (Roesbrugge)	50.916733	2.6257804
Harmoniestraat 9A 2230 Herselt (Ramsel)	51.0429729	4.8161712
Hazelereik  3700 Tongeren (Tongeren)	50.7854919	5.4844934
Heernisse  8600 Diksmuide (Diksmuide)	51.0237195	2.85803209623491
Heilig Hartlaan  3980 Tessenderlo (Tessenderlo)	51.0653104	5.0948341
Herestraat  3000 Leuven (Leuven)	50.8810874	4.6729659
Herestraat  3001 Leuven (Heverlee)	50.877461	4.6829121
Hernestraat  1570 Galmaarden (Tollembeek)	50.7408337	4.0078079
Heuvelerweg  3910 Pelt (Sint-Huibrechts-Lille)	51.2348684	5.4807457
Heuvelplein  2910 Essen (Essen)	51.4648657	4.4719981
Hondsmarkt  2870 Puurs-Sint-Amands (Puurs)	51.0755072	4.2775534
Hovestraat  2370 Arendonk (Arendonk)	51.3201216	5.0911714
hufengasse  4700 Eupen (Eupen)	50.6278655	6.0266484
Ieperse Steenweg  8630 Veurne (Veurne)	51.0250741	2.6784698
IJzerenleen  2800 Mechelen (Mechelen)	51.0268697	4.4785983
IJzerstraat  2340 Beerse (Beerse)	51.3208608	4.8569548
Imeldalaan  2820 Bonheiden (Bonheiden)	51.018834	4.557186
Industrieweg  3540 Herk-de-Stad (Herk-de-Stad)	50.94463545	5.17141624652004
J.B.-Stessensstraat  2440 Geel (Geel)	51.1584803	5.0016056
Kalvekeetdijk  8300 Knokke-Heist (Westkapelle)	51.3241538	3.2966393
Kamerstraat  3583 Beringen (Paal)	51.0320656	5.1918172
KaÔrostraat  8400 Oostende (Oostende)	NA	NA
Kapelstraat  2850 Boom (Boom)	51.0858405	4.3805694
Kardinaal Cardijnplein  2880 Bornem (Bornem)	51.0994811	4.2357823
Kasteeldreef  2900 Schoten (Schoten)	51.2459993	4.4903839
Kasteelstraat  2880 Bornem (Bornem)	51.1004559	4.2316176
Kasteelstraat  9140 Temse (Temse)	51.12417915	4.21897313669355
Kazernestraat  9220 Hamme (Hamme)	51.0921798	4.1317755
Keetberglaan  9120 Beveren (Melsele)	51.2378723	4.2933674
Kehrweg 9C 4700 Eupen (Eupen)	50.6259655	6.04360894346118
Kerkeneind  2920 Kalmthout (Kalmthout)	51.3829005	4.4757966
Kerkstraat  3550 Heusden-Zolder (Viversel)	50.9950166	5.2504478
Kiezelweg  3620 Lanaken	50.8596285	5.6250885
Klein Kasteelstraat  8431 Middelkerke (Wilskerke)	51.1830993	2.8236219
Kleine Amer  2870 Puurs (Puurs)	51.0814253	4.2997383
Kleine Nieuwedijkstraat  2800 Mechelen (Mechelen)	51.0358097	4.4873773
Kliniekstraat  3300 Tienen (Tienen)	50.8114473	4.9326001
Kloosterstraat 6A 8880 Ledegem (Sint-Eloois-Winkel)	50.87716755	3.17593800644031
Klosterstra√üe 7-0/2 4780 Sankt Vith (Sankt Vith)	NA	NA
Klosterstraﬂe 7-0/2 4780 Sankt Vith (Sankt Vith)	NA	NA
Koerselsebaan  3550 Heusden-Zolder (Heusden)	51.0420097	5.2813748
Koning Albert I Laan  8800 Roeselare (Roeselare)	50.9384061	3.1253544
Koning Albertlaan  9080 Lochristi (Lochristi)	51.1120319	3.8135379
Koning Albertstraat  2381 Ravels (Weelde)	51.4098772	4.9960098
Korbeek Losestraat  3001 Leuven (Heverlee)	50.8708042	4.7208609
Kremersgat  2280 Grobbendonk (Grobbendonk)	51.1959124	4.7476398
Krommebeekstraat 34B 8930 Menen (Menen)	50.813572	3.1266317767372
Kroonveldlaan  9200 Dendermonde (Sint-Gillis-Bij-Dendermonde)	51.025749	4.1180361
lambertusstraat  3840 borgloon (hendrieken)	50.7977247	5.329465
Lange Beeldekensstraat  2060 Antwerpen (Antwerpen)	51.2217898	4.4334075
Lange Bremstraat  2170 Antwerpen (Merksem)	51.2591128	4.4535993
Leopoldstraat  2000 Antwerpen (Antwerpen)	51.2153443	4.4068281
Leuvenseweg  1000 Bruxelles (Bruxelles)	50.8476607	4.3628932
Lichtenberglaan  3800 Sint-Truiden (Sint-Truiden)	50.8034895	5.1945195
Liersesteenweg  2800 Mechelen (Mechelen)	51.0457098	4.4782536
lindendreef  2020 antwerpen (antwerpen)	51.1836988	4.4186917
Lispersteenweg  2500 Lier (Lier)	51.1385171	4.572347
Loskaai  8660 De Panne (De Panne)	51.094863	2.58364450456711
Luchthaven Brussel Nationaal  1930 Zaventem (Zaventem)	50.89833605	4.48325868142908
Maesensveld  3900 Overpelt	51.2130843	5.4162773
Markt  2900 Schoten (Schoten)	51.2512568	4.4982608
Massembre  5543 Hasti√®re (Heer)	NA	NA
Mechelsestraat  2500 Lier (Lier)	51.131406	4.564636
Michellaan  3970 Leopoldsburg (Leopoldsburg)	51.1194471	5.2669657
Miksebaan  2930 Brasschaat (Brasschaat)	51.2918757	4.5041816
Minderbroedersgang  2800 Mechelen (Mechelen)	51.0290895	4.4776805
Minderbroedersstraat  9700 Oudenaarde (Bevere)	50.8415073	3.5995894
Moerlandstraat  9100 Sint-Niklaas (Sint-Niklaas)	51.1604753	4.1502765
Mulhouselaan Noord Kaai 142 2030 Antwerpen (Antwerpen)	NA	NA
n115;sint-lenaartseweg  2320 hoogstraten (hoogstraten)	51.38807585	4.74214877023563
N117  2930 Brasschaat (Brasschaat)	51.3095315	4.557067
n30;chauss√©e de houffalize	NA	NA
N32b  8930 Menen (Menen)	50.8114233	3.1214917
N339  8000 Brugge (Brugge)	51.2213402	3.2000152
N34c  8370 Blankenberge (Blankenberge)	51.3094738	3.1243366
N50  8020 Oostkamp (Oostkamp)	51.1475258	3.2361118
n632;malmedyer strasse  4760 bullange (b√ºllingen)	NA	NA
N808  6870 Saint-Hubert (Saint-Hubert)	50.0320263	5.3834796
n828;rue des quatre moineaux 23 a 6832 bouillon (sensenruth)	NA	NA
